Free_category_count,Neutral_category_count,Busy_Category_count,System_category_count,Battery_level,Battery_status,Background,Foreground,Service,Visible,Perceptible,Unknown,TimeStamp
5,4,2,29,96,charging,0,0,40,0,0,0,2309
5,3,2,30,96,charging,0,0,40,0,0,0,0908
4,2,2,29,89,charging,0,0,37,0,0,0,1754
5,3,2,30,24,charging,0,0,39,0,0,0,0614
6,2,2,28,89,discharging,0,1,37,0,0,0,1901
5,2,2,30,66,charging,0,0,39,0,0,0,0821
4,2,2,28,63,charging,0,0,36,0,0,0,0756
5,2,2,29,80,charging,0,0,38,0,0,0,1747
5,4,3,29,96,discharging,0,0,41,0,0,0,2323
4,2,1,27,73,charging,0,0,34,0,0,0,1744
5,3,4,30,93,discharging,0,0,42,0,0,0,1729
5,2,3,30,65,charging,0,0,40,0,0,0,0820
5,2,2,30,79,charging,0,0,39,0,0,0,0834
4,2,2,29,92,charging,0,0,37,0,0,0,1841
6,4,2,28,80,discharging,0,0,40,0,0,0,1258
6,2,2,28,86,charging,0,0,38,0,0,0,1323
4,2,2,29,83,discharging,0,0,37,0,0,0,1248
4,3,3,29,71,charging,0,0,38,0,0,0,1732
4,3,2,29,82,charging,0,0,38,0,0,0,1742
5,2,2,29,81,charging,0,1,37,0,0,0,1749
5,3,2,30,76,charging,0,0,40,0,0,0,0830
4,2,2,28,88,charging,0,0,36,0,0,0,1819
4,3,2,28,58,charging,0,0,37,0,0,0,0751
4,3,2,29,91,discharging,0,0,38,0,0,0,1052
6,2,2,27,84,discharging,0,0,37,0,0,0,1217
5,3,2,30,38,charging,0,0,40,0,0,0,0730
6,2,2,29,73,charging,0,0,39,0,0,0,1736
4,2,2,27,81,charging,0,0,35,0,0,0,1819
4,3,2,29,81,charging,0,0,38,0,0,0,1741
4,2,2,29,92,discharging,0,0,37,0,0,0,1038
4,4,2,29,94,charging,0,0,39,0,0,0,2252
4,4,2,29,88,charging,0,0,39,0,0,0,2238
5,3,2,29,55,charging,0,0,39,0,0,0,0811
5,2,2,30,62,charging,0,0,39,0,0,0,0817
5,2,2,29,81,charging,0,0,38,0,0,0,1748
5,3,2,28,73,charging,0,0,38,0,0,0,1738
4,4,2,29,95,charging,0,0,39,0,0,0,2255
6,3,2,27,86,discharging,0,0,38,0,0,0,1209
4,3,2,29,65,discharging,0,0,38,0,0,0,2007
4,2,2,29,82,discharging,0,0,37,0,0,0,1308
4,2,2,29,46,charging,0,0,37,0,0,0,0740
5,3,2,30,69,charging,0,0,40,0,0,0,0824
5,3,2,30,57,charging,0,0,40,0,0,0,0812
4,2,2,29,84,discharging,0,0,37,0,0,0,1229
5,2,2,30,94,charging,0,0,39,0,0,0,0901
5,3,2,28,75,charging,0,0,38,0,0,0,1740
4,3,2,29,95,discharging,0,0,38,0,0,0,2334
5,3,2,29,77,charging,0,0,39,0,0,0,1801
4,3,2,31,89,discharging,0,0,40,0,0,0,1108
4,3,2,29,35,charging,0,0,38,0,0,0,0629
4,3,2,29,86,discharging,0,0,38,0,0,0,1811
4,2,1,28,77,charging,0,0,35,0,0,0,1748
6,2,2,27,72,discharging,0,0,37,0,0,0,2034
4,4,2,29,73,charging,0,0,39,0,0,0,2215
5,3,2,28,79,charging,0,0,38,0,0,0,1749
5,3,2,30,83,charging,0,0,40,0,0,0,1810
6,2,2,28,88,discharging,0,1,37,0,0,0,1907
4,1,3,31,23,charging,0,0,39,0,0,0,0612
5,4,4,29,74,discharging,0,0,42,0,0,0,0753
4,3,2,29,29,charging,0,0,38,0,0,0,0621
4,5,1,26,68,discharging,0,0,36,0,0,0,0938
4,3,2,29,32,charging,0,0,38,0,0,0,0625
4,2,2,27,82,charging,0,0,35,0,0,0,1821
4,2,1,28,31,charging,0,0,35,0,0,0,0628
6,2,2,28,81,charging,0,0,38,0,0,0,1314
4,3,2,29,54,charging,0,0,38,0,0,0,0748
4,2,2,28,70,charging,0,0,36,0,0,0,0802
4,4,2,29,69,charging,0,0,39,0,0,0,2210
4,2,2,29,91,charging,0,0,37,0,0,0,1839
4,3,2,28,57,charging,0,0,37,0,0,0,0751
5,3,2,30,90,charging,0,0,40,0,0,0,1836
5,3,2,29,53,charging,0,0,39,0,0,0,0809
5,2,2,27,67,discharging,0,0,36,0,0,0,1625
6,3,2,28,83,discharging,0,0,39,0,0,0,1804
5,3,2,28,75,charging,0,0,38,0,0,0,1741
4,3,2,29,78,charging,0,0,38,0,0,0,2221
4,4,1,26,73,discharging,0,0,35,0,0,0,0754
5,3,3,29,39,charging,0,0,39,0,0,0,0733
5,3,2,28,72,charging,0,0,38,0,0,0,1737
5,2,2,30,63,charging,0,0,39,0,0,0,0818
4,4,2,29,93,charging,0,0,39,0,0,0,2250
4,3,3,29,91,discharging,0,0,39,0,0,0,1324
6,2,2,27,93,discharging,0,0,37,0,0,0,1447
4,2,2,29,97,charging,0,0,37,0,0,0,0853
5,3,2,26,88,discharging,0,0,36,0,0,0,1906
5,3,2,29,51,charging,0,0,39,0,0,0,0807
5,3,2,28,86,charging,0,0,38,0,0,0,1828
4,3,2,29,87,discharging,0,0,38,0,0,0,1129
4,3,2,29,65,charging,0,0,38,0,0,0,2207
6,2,2,27,75,discharging,0,0,37,0,0,0,2016
6,3,2,28,71,charging,0,0,38,0,0,0,1736
5,2,2,27,82,charging,0,0,36,0,0,0,1753
5,3,2,29,76,charging,0,0,39,0,0,0,1800
5,2,2,31,93,charging,0,0,40,0,0,0,0859
5,3,2,30,75,charging,0,0,40,0,0,0,0829
5,2,2,29,83,charging,0,0,38,0,0,0,1750
4,2,2,29,89,charging,0,0,37,0,0,0,0827
4,2,2,28,60,charging,0,0,36,0,0,0,0753
7,3,2,27,91,discharging,0,0,39,0,0,0,1131
4,4,2,25,70,discharging,0,0,35,0,0,0,0903
4,2,2,28,89,charging,0,0,36,0,0,0,1821
4,2,1,28,76,charging,0,0,35,0,0,0,1747
5,3,2,28,72,charging,0,0,38,0,0,0,1737
4,2,2,29,50,discharging,0,1,36,0,0,0,1903
4,3,2,28,55,charging,0,0,37,0,0,0,0749
5,2,2,30,61,charging,0,0,39,0,0,0,0816
4,3,1,29,27,charging,0,0,37,0,0,0,0624
4,2,2,28,61,charging,0,0,36,0,0,0,0754
4,3,2,30,61,charging,0,0,39,0,0,0,2204
4,4,2,27,19,charging,0,0,37,0,0,0,1226
5,3,2,30,83,charging,0,0,40,0,0,0,0839
5,2,2,27,74,discharging,0,0,36,0,0,0,1422
4,2,2,29,85,charging,0,0,37,0,0,0,0820
6,3,2,28,71,charging,0,0,38,0,0,0,1736
4,3,3,28,22,charging,0,0,38,0,0,0,0711
6,3,2,27,88,charging,0,0,38,0,0,0,1827
5,2,2,29,99,charging,0,0,38,0,0,0,0903
4,2,2,28,71,charging,0,0,36,0,0,0,0803
6,2,2,28,82,charging,0,0,38,0,0,0,1316
5,3,2,30,71,charging,0,0,40,0,0,0,0826
4,3,2,29,91,discharging,0,0,38,0,0,0,1057
4,3,2,28,76,charging,0,0,37,0,0,0,0808
4,4,2,29,71,charging,0,0,39,0,0,0,2213
4,2,3,26,49,discharging,0,0,35,0,0,0,0324
4,3,6,28,1,discharging,0,0,41,0,0,0,1927
4,3,2,29,45,charging,0,0,38,0,0,0,0739
4,2,1,27,74,charging,0,0,34,0,0,0,1745
4,3,2,29,25,charging,0,0,37,0,0,0,0623
4,3,2,29,82,charging,0,0,38,0,0,0,1808
5,2,2,28,79,charging,0,0,37,0,0,0,1746
6,2,2,27,82,discharging,0,1,36,0,0,0,1931
4,3,2,29,38,charging,0,0,38,0,0,0,0631
4,2,2,28,64,charging,0,0,36,0,0,0,0757
6,2,2,28,80,discharging,0,1,37,0,0,0,1941
4,3,1,29,76,charging,0,0,37,0,0,0,1734
6,3,2,30,48,discharging,0,0,41,0,0,0,0804
4,2,2,28,65,charging,0,0,36,0,0,0,0757
